Orden;Tipo Contenedor;Modelo;Lote;Distrito;Barrio;Carga;Coordenda X;Coordenada Y;Latitud;Longitud;Código Situado;Dirección
3327;PMB;E 2750 CL;2;SAN BLAS-CANILLEJAS;ROSAS;Carga Lateral;448176,19;4475496,967;40,428495514006;-3,610956808257;CL_205_033;AVENIDA CANILLEJAS A VICALVARO, 74
3328;Orgánica;O 2750 CL;2;SAN BLAS-CANILLEJAS;ROSAS;Carga Lateral;448176,19;4475496,967;40,428495514006;-3,610956808257;CL_205_033;AVENIDA CANILLEJAS A VICALVARO, 74
3329;Resto;R 2750 CL;2;VICALVARO;CASCO HISTORICO DE VICALVARO;Carga Lateral;448152,573;4472690,175;40,403208663510;-3,611006444037;CL_191_170;CALLE CRISTO DE LA GUIA, 34
3330;PMB;E 2750 CL;2;VICALVARO;CASCO HISTORICO DE VICALVARO;Carga Lateral;448152,573;4472690,175;40,403208663510;-3,611006444037;CL_191_170;CALLE CRISTO DE LA GUIA, 34
3331;Orgánica;O 2750 CL;2;VICALVARO;CASCO HISTORICO DE VICALVARO;Carga Lateral;448152,573;4472690,175;40,403208663510;-3,611006444037;CL_191_170;CALLE CRISTO DE LA GUIA, 34
3332;Resto;R 2750 CL;2;VICALVARO;CASCO HISTORICO DE VICALVARO;Carga Lateral;448053,242;4473538,038;40,410840574914;-3,612246175292;CL_191_106;CALLE EZCARAY, 36
3333;PMB;E 2750 CL;2;VICALVARO;CASCO HISTORICO DE VICALVARO;Carga Lateral;448053,242;4473538,038;40,410840574914;-3,612246175292;CL_191_106;CALLE EZCARAY, 36
3334;Orgánica;O 2750 CL;2;VICALVARO;CASCO HISTORICO DE VICALVARO;Carga Lateral;448053,242;4473538,038;40,410840574914;-3,612246175292;CL_191_106;CALLE EZCARAY, 36
3335;Papel-Cartón;PC 3100 CS;3;VILLA DE VALLECAS;ENSANCHE DE VALLECAS;Carga Superior;448198,596;4469624,8;40,375596537344;-3,610214809261;CS_183_158;CALLE VILLAMAYOR DE SANTIAGO, 8
3336;Vidrio;V 3100 CS;3;VILLA DE VALLECAS;ENSANCHE DE VALLECAS;Carga Superior;448198,596;4469624,8;40,375596537344;-3,610214809261;CS_183_158;CALLE VILLAMAYOR DE SANTIAGO, 8
3337;Resto;R 800 CT;2;SAN BLAS-CANILLEJAS;ROSAS;Carga Trasera;448257,95;4475500,896;40,428535998322;-3,609993301938;CT_205_001;TRAVESIA LONGARES, 12
3338;Resto;R 800 CT;2;SAN BLAS-CANILLEJAS;ROSAS;Carga Trasera;448257,95;4475500,896;40,428535998322;-3,609993301938;CT_205_001;TRAVESIA LONGARES, 12
3339;PMB;E 800 CT;2;SAN BLAS-CANILLEJAS;ROSAS;Carga Trasera;448257,95;4475500,896;40,428535998322;-3,609993301938;CT_205_001;TRAVESIA LONGARES, 12
3340;PMB;E 800 CT;2;SAN BLAS-CANILLEJAS;ROSAS;Carga Trasera;448257,95;4475500,896;40,428535998322;-3,609993301938;CT_205_001;TRAVESIA LONGARES, 12
